LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,HasMortgage,HasDependents,HasCoSigner,Default
LID-10001,28,480000,120000,742,48,4,10.5,12,0.22,Yes,No,Yes,0
LID-10002,41,360000,180000,612,30,7,15.5,36,0.39,No,Yes,No,0
LID-10003,33,300000,220000,548,8,9,19.0,48,0.56,No,Yes,No,1
LID-10004,29,720000,150000,681,60,3,12.0,24,0.27,Yes,No,Yes,0
LID-10005,52,420000,250000,505,14,8,18.5,60,0.48,No,Yes,No,1
LID-10006,36,540000,100000,708,42,5,11.0,12,0.24,Yes,Yes,Yes,0
LID-10007,25,280000,90000,575,10,6,16.0,36,0.43,No,No,No,1
LID-10008,45,900000,180000,765,84,2,9.5,24,0.18,Yes,No,Yes,0
LID-10009,31,390000,140000,635,22,5,14.0,36,0.34,No,Yes,Yes,0
LID-10010,39,260000,160000,522,6,10,20.0,60,0.52,No,Yes,No,1
LID-10011,47,650000,210000,690,72,6,12.5,36,0.29,Yes,Yes,Yes,0
LID-10012,30,330000,110000,658,26,4,13.0,24,0.31,No,No,Yes,0
LID-10013,56,240000,130000,492,5,9,21.0,48,0.59,No,Yes,No,1
LID-10014,34,510000,80000,735,54,3,10.0,12,0.20,Yes,No,Yes,0
LID-10015,27,310000,170000,601,16,7,17.0,48,0.46,No,Yes,No,1
