LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
LID-10000,36,284000,120000,714,78,6,11.8,36,0.32,Bachelor's,Salaried,Single,Yes,No,Business,No,0
LID-10001,59,454000,215000,652,54,3,12.6,36,0.46,PhD,Salaried,Married,No,Yes,Home,No,0
LID-10002,47,614000,295000,661,50,2,13.2,48,0.52,High School,Salaried,Married,No,No,Auto,Yes,0
LID-10003,43,268000,160000,775,84,3,10.8,60,0.54,Bachelor's,Salaried,Married,No,Yes,Business,No,0
LID-10004,31,615000,135000,619,112,4,13.6,24,0.32,Bachelor's,Self-employed,Married,Yes,No,Home,No,0
LID-10005,31,412000,150000,688,49,4,11.3,24,0.33,High School,Salaried,Single,No,No,Business,Yes,0
LID-10006,27,711000,130000,692,22,2,12.6,12,0.43,High School,Self-employed,Divorced,Yes,Yes,Home,No,0
LID-10007,53,358000,100000,634,128,1,14.8,60,0.48,High School,Salaried,Married,No,Yes,Other,Yes,0
LID-10008,43,494000,115000,564,33,2,13.5,24,0.22,Bachelor's,Salaried,Single,No,Yes,Auto,No,0
LID-10009,46,391000,145000,655,97,5,13.1,60,0.42,High School,Self-employed,Single,No,No,Business,No,0
LID-10010,24,380000,125000,442,10,4,20.9,24,0.43,Master's,Salaried,Married,No,Yes,Home,Yes,1
LID-10011,61,462000,135000,686,96,4,12.1,24,0.24,PhD,Salaried,Married,No,Yes,Home,No,0
LID-10012,51,538000,75000,593,111,2,12.3,24,0.24,High School,Salaried,Single,No,Yes,Business,Yes,0
LID-10013,32,201000,60000,608,73,5,15.4,36,0.37,Bachelor's,Self-employed,Married,No,Yes,Home,No,0
LID-10014,31,881000,385000,833,91,5,9.4,12,0.29,High School,Self-employed,Divorced,No,Yes,Home,No,0
LID-10015,31,144000,75000,638,11,8,14.0,12,0.39,High School,Salaried,Married,No,Yes,Business,No,0
LID-10016,35,275000,145000,637,168,8,13.7,36,0.29,Bachelor's,Salaried,Married,No,No,Education,Yes,0
LID-10017,40,380000,200000,649,90,8,13.0,48,0.35,Bachelor's,Self-employed,Single,Yes,No,Auto,No,0
LID-10018,38,502000,80000,713,121,3,10.0,60,0.14,Master's,Salaried,Married,No,Yes,Auto,No,0
LID-10019,34,953000,260000,660,86,7,11.5,36,0.16,Bachelor's,Salaried,Single,No,No,Business,Yes,0
LID-10020,43,144000,85000,574,92,5,15.8,36,0.49,Bachelor's,Self-employed,Single,No,No,Education,Yes,0
LID-10021,30,303000,70000,632,20,1,15.6,36,0.51,High School,Salaried,Married,No,No,Other,No,0
LID-10022,34,124000,25000,651,12,2,13.7,60,0.21,High School,Salaried,Single,No,No,Auto,No,1
LID-10023,36,407000,205000,690,45,7,12.4,48,0.44,Master's,Self-employed,Married,No,Yes,Business,Yes,0
LID-10024,38,465000,290000,748,99,6,9.8,24,0.3,High School,Salaried,Married,No,Yes,Other,No,0
LID-10025,49,960000,240000,581,41,3,13.5,36,0.3,PhD,Self-employed,Married,No,No,Business,No,0
LID-10026,32,428000,145000,719,52,2,12.5,36,0.48,High School,Salaried,Single,No,No,Education,Yes,0
LID-10027,40,711000,305000,651,94,4,14.1,60,0.5,Bachelor's,Salaried,Married,No,Yes,Auto,No,1
LID-10028,42,552000,130000,661,68,4,10.7,60,0.31,PhD,Salaried,Divorced,No,No,Education,No,0
LID-10029,26,315000,160000,565,83,2,18.3,12,0.41,High School,Salaried,Single,No,No,Education,Yes,0
LID-10030,43,184000,25000,543,61,6,14.2,12,0.2,Bachelor's,Salaried,Single,No,No,Home,No,0
LID-10031,31,466000,120000,617,44,4,12.9,12,0.31,Master's,Self-employed,Married,Yes,No,Business,Yes,0
LID-10032,27,176000,70000,713,57,6,10.7,12,0.22,High School,Salaried,Married,Yes,Yes,Auto,No,0
LID-10033,59,816000,335000,645,121,5,12.6,60,0.29,Bachelor's,Self-employed,Single,No,Yes,Home,No,1
LID-10034,60,366000,220000,680,107,4,12.6,60,0.3,High School,Salaried,Married,No,No,Education,No,0
LID-10035,50,772000,450000,459,79,4,18.2,36,0.25,High School,Self-employed,Married,Yes,Yes,Business,No,0
LID-10036,35,307000,110000,689,111,4,10.9,12,0.3,High School,Salaried,Married,No,Yes,Education,No,0
LID-10037,29,464000,270000,754,60,2,12.2,24,0.48,Master's,Salaried,Married,Yes,Yes,Other,No,0
LID-10038,45,449000,150000,589,35,4,12.5,24,0.26,High School,Salaried,Single,No,Yes,Education,Yes,0
LID-10039,38,391000,100000,709,142,4,10.6,12,0.29,High School,Salaried,Single,No,No,Home,Yes,0
LID-10040,29,316000,65000,675,109,6,14.4,60,0.57,Bachelor's,Salaried,Married,Yes,No,Home,No,0
LID-10041,40,497000,195000,595,69,8,14.6,24,0.3,Bachelor's,Salaried,Single,No,No,Home,No,0
LID-10042,25,241000,65000,494,0,3,17.5,48,0.35,Bachelor's,Unemployed,Married,No,Yes,Business,No,1
LID-10043,56,206000,60000,696,84,4,12.0,24,0.34,High School,Contract,Single,No,No,Business,No,0
LID-10044,34,793000,300000,577,132,7,15.1,36,0.32,Bachelor's,Self-employed,Single,No,No,Home,Yes,0
LID-10045,45,597000,120000,762,82,7,8.5,12,0.36,Bachelor's,Salaried,Single,No,No,Home,No,1
LID-10046,35,415000,150000,782,53,3,10.5,36,0.36,Bachelor's,Self-employed,Married,No,Yes,Business,No,0
LID-10047,40,1000000,295000,620,80,1,15.5,12,0.44,High School,Salaried,Single,No,No,Business,No,0
LID-10048,41,345000,65000,690,119,6,14.2,12,0.39,Bachelor's,Salaried,Single,No,No,Home,No,0
LID-10049,32,829000,375000,713,74,3,11.2,48,0.21,Bachelor's,Salaried,Single,No,No,Home,No,0
LID-10050,61,441000,45000,530,160,3,16.2,24,0.41,Bachelor's,Salaried,Single,No,No,Business,No,0
LID-10051,49,228000,55000,691,60,2,12.1,24,0.34,High School,Salaried,Single,No,No,Business,Yes,0
LID-10052,58,1106000,250000,438,109,5,20.1,12,0.42,High School,Salaried,Married,No,No,Auto,No,1
LID-10053,55,690000,265000,705,141,2,10.4,24,0.52,Bachelor's,Salaried,Single,No,No,Business,No,0
LID-10054,43,375000,145000,561,107,5,13.8,36,0.32,PhD,Self-employed,Single,No,No,Business,Yes,0
LID-10055,56,597000,140000,722,120,1,10.4,24,0.31,High School,Contract,Single,No,Yes,Home,No,0
LID-10056,28,321000,65000,618,70,3,16.4,24,0.42,Bachelor's,Salaried,Married,No,No,Business,No,1
LID-10057,32,632000,265000,617,58,5,13.4,36,0.25,High School,Salaried,Divorced,No,No,Business,No,0
LID-10058,26,120000,65000,655,12,5,13.9,12,0.17,Bachelor's,Self-employed,Married,No,Yes,Other,No,0
LID-10059,35,228000,125000,608,84,3,12.4,12,0.23,Bachelor's,Salaried,Married,No,Yes,Business,No,0
LID-10060,37,686000,100000,571,83,7,15.8,36,0.51,Master's,Contract,Single,No,No,Home,Yes,0
LID-10061,34,349000,115000,708,22,5,12.1,24,0.43,High School,Contract,Married,No,No,Education,No,0
LID-10062,51,449000,215000,703,149,5,11.9,36,0.25,Bachelor's,Salaried,Married,No,Yes,Business,No,1
LID-10063,36,191000,65000,751,104,6,8.9,12,0.23,Bachelor's,Salaried,Single,No,No,Business,No,0
LID-10064,34,1106000,470000,541,0,1,15.6,36,0.27,Master's,Unemployed,Divorced,Yes,No,Home,Yes,0
LID-10065,41,770000,305000,579,111,5,14.5,24,0.3,Bachelor's,Contract,Married,No,Yes,Business,No,0
LID-10066,30,358000,75000,662,46,7,12.6,60,0.42,High School,Salaried,Married,No,Yes,Education,No,0
LID-10067,50,320000,195000,661,98,7,10.7,24,0.25,Master's,Salaried,Married,No,Yes,Education,Yes,0
LID-10068,28,705000,190000,628,73,4,14.8,24,0.35,High School,Salaried,Single,No,No,Auto,No,0
LID-10069,63,1191000,400000,744,157,3,10.8,12,0.56,Bachelor's,Salaried,Single,Yes,Yes,Other,No,0
LID-10070,49,676000,200000,668,162,2,11.6,36,0.18,Master's,Contract,Married,No,No,Education,No,0
LID-10071,32,1322000,805000,687,79,4,10.4,12,0.28,High School,Self-employed,Married,No,Yes,Home,No,0
LID-10072,22,241000,90000,611,18,2,13.6,12,0.15,Bachelor's,Self-employed,Married,No,Yes,Business,Yes,0
LID-10073,51,255000,60000,739,114,4,8.5,12,0.16,Master's,Salaried,Married,No,Yes,Education,No,0
LID-10074,46,208000,115000,634,110,3,13.8,36,0.26,PhD,Self-employed,Married,No,Yes,Business,No,0
